,Date,site_no,LAT_GAGE,LNG_GAGE,LstAvgStrf,Dryest Day
51527,1980-10-14,11208000,36.52189,-118.799265,3.1421052631578945,287
51650,1980-02-14,11214600,37.076333,-118.968723,10.52894736842105,44
52200,1980-08-16,11216200,36.902724,-119.050946,6.929705882352941,228
52689,1980-12-17,11216500,36.90328,-119.121505,16.725641025641025,351
52987,1980-10-10,11218400,36.879669,-119.128727,47.256410256410255,283
53332,1980-09-19,11224500,36.214677,-120.470712,0.06878048780487805,262
53784,1980-12-14,11230215,37.309664,-118.962061,17.86842105263158,348
53787,1980-12-17,11230215,37.309664,-118.962061,17.86842105263158,351
54098,1980-10-23,11230500,37.339386,-118.973451,15.85128205128205,296
54320,1980-06-01,11231500,37.361331,-118.992063,65.1025641025641,152
54593,1980-02-29,11231600,37.359942,-118.998452,7.655555555555555,59
55225,1980-11-21,11234760,37.316611,-119.329573,14.805128205128204,325
55525,1980-09-16,11237500,37.198557,-119.213733,0.66225,259
55872,1980-08-28,11238600,37.207724,-119.330127,3.4515151515151508,240
56318,1980-11-16,11242000,37.144392,-119.454577,25.215384615384615,320
56712,1980-12-14,11244000,37.288834,-119.530139,2.8687179487179484,348
56978,1980-09-05,11246500,37.150781,-119.460411,3.4987179487179483,248
57451,1980-12-21,11251000,36.984394,-119.724312,171.11499999999998,355
57726,1980-09-21,11253310,36.402174,-120.433492,0.04975609756097561,264
58104,1980-10-03,11264500,37.731593,-119.558774,30.397317073170736,276
58460,1980-09-23,11266500,37.71687100000001,-119.666279,48.36341463414634,266
58874,1980-11-10,11269700,37.58354600000001,-120.275744,157.94444444444446,314
59246,1980-11-16,11270900,37.521603000000006,-120.332411,301.2307692307692,320
59519,1980-08-15,11274000,37.350493,-120.97715,546.3675000000001,227
59865,1980-07-26,11274500,37.315492,-121.125208,0.0,207
59866,1980-07-27,11274500,37.315492,-121.125208,0.0,208
59867,1980-07-28,11274500,37.315492,-121.125208,0.0,209
59868,1980-07-29,11274500,37.315492,-121.125208,0.0,210
59869,1980-07-30,11274500,37.315492,-121.125208,0.0,211
59870,1980-07-31,11274500,37.315492,-121.125208,0.0,212
59871,1980-08-01,11274500,37.315492,-121.125208,0.0,213
59872,1980-08-02,11274500,37.315492,-121.125208,0.0,214
59873,1980-08-03,11274500,37.315492,-121.125208,0.0,215
59874,1980-08-04,11274500,37.315492,-121.125208,0.0,216
59875,1980-08-05,11274500,37.315492,-121.125208,0.0,217
59876,1980-08-06,11274500,37.315492,-121.125208,0.0,218
59877,1980-08-07,11274500,37.315492,-121.125208,0.0,219
59878,1980-08-08,11274500,37.315492,-121.125208,0.0,220
59879,1980-08-09,11274500,37.315492,-121.125208,0.0,221
59880,1980-08-10,11274500,37.315492,-121.125208,0.0,222
59881,1980-08-11,11274500,37.315492,-121.125208,0.0,223
59882,1980-08-12,11274500,37.315492,-121.125208,0.0,224
59883,1980-08-13,11274500,37.315492,-121.125208,0.0,225
59884,1980-08-14,11274500,37.315492,-121.125208,0.0,226
59885,1980-08-15,11274500,37.315492,-121.125208,0.0,227
59886,1980-08-16,11274500,37.315492,-121.125208,0.0,228
59887,1980-08-17,11274500,37.315492,-121.125208,0.0,229
59888,1980-08-18,11274500,37.315492,-121.125208,0.0,230
59889,1980-08-19,11274500,37.315492,-121.125208,0.0,231
59890,1980-08-20,11274500,37.315492,-121.125208,0.0,232
59891,1980-08-21,11274500,37.315492,-121.125208,0.0,233
59892,1980-08-22,11274500,37.315492,-121.125208,0.0,234
59893,1980-08-23,11274500,37.315492,-121.125208,0.0,235
59894,1980-08-24,11274500,37.315492,-121.125208,0.0,236
59895,1980-08-25,11274500,37.315492,-121.125208,0.0,237
59896,1980-08-26,11274500,37.315492,-121.125208,0.0,238
59897,1980-08-27,11274500,37.315492,-121.125208,0.0,239
59898,1980-08-28,11274500,37.315492,-121.125208,0.0,240
59899,1980-08-29,11274500,37.315492,-121.125208,0.0,241
59900,1980-08-30,11274500,37.315492,-121.125208,0.0,242
59901,1980-08-31,11274500,37.315492,-121.125208,0.0,243
59902,1980-09-01,11274500,37.315492,-121.125208,0.0,244
59903,1980-09-02,11274500,37.315492,-121.125208,0.0,245
59904,1980-09-03,11274500,37.315492,-121.125208,0.0,246
59905,1980-09-04,11274500,37.315492,-121.125208,0.0,247
59906,1980-09-05,11274500,37.315492,-121.125208,0.0,248
59907,1980-09-06,11274500,37.315492,-121.125208,0.0,249
59908,1980-09-07,11274500,37.315492,-121.125208,0.0,250
59909,1980-09-08,11274500,37.315492,-121.125208,0.0,251
59910,1980-09-09,11274500,37.315492,-121.125208,0.0,252
59911,1980-09-10,11274500,37.315492,-121.125208,0.0,253
59912,1980-09-11,11274500,37.315492,-121.125208,0.0,254
59913,1980-09-12,11274500,37.315492,-121.125208,0.0,255
59914,1980-09-13,11274500,37.315492,-121.125208,0.0,256
59915,1980-09-14,11274500,37.315492,-121.125208,0.0,257
59916,1980-09-15,11274500,37.315492,-121.125208,0.0,258
59917,1980-09-16,11274500,37.315492,-121.125208,0.0,259
59918,1980-09-17,11274500,37.315492,-121.125208,0.0,260
59919,1980-09-18,11274500,37.315492,-121.125208,0.0,261
59920,1980-09-19,11274500,37.315492,-121.125208,0.0,262
59921,1980-09-20,11274500,37.315492,-121.125208,0.0,263
59922,1980-09-21,11274500,37.315492,-121.125208,0.0,264
59923,1980-09-22,11274500,37.315492,-121.125208,0.0,265
59924,1980-09-23,11274500,37.315492,-121.125208,0.0,266
59925,1980-09-24,11274500,37.315492,-121.125208,0.0,267
59926,1980-09-25,11274500,37.315492,-121.125208,0.0,268
59927,1980-09-26,11274500,37.315492,-121.125208,0.0,269
59928,1980-09-27,11274500,37.315492,-121.125208,0.0,270
59929,1980-09-28,11274500,37.315492,-121.125208,0.0,271
59930,1980-09-29,11274500,37.315492,-121.125208,0.0,272
59931,1980-09-30,11274500,37.315492,-121.125208,0.0,273
59932,1980-10-01,11274500,37.315492,-121.125208,0.0,274
59933,1980-10-02,11274500,37.315492,-121.125208,0.0,275
59934,1980-10-03,11274500,37.315492,-121.125208,0.0,276
59935,1980-10-04,11274500,37.315492,-121.125208,0.0,277
59936,1980-10-05,11274500,37.315492,-121.125208,0.0,278
59937,1980-10-06,11274500,37.315492,-121.125208,0.0,279
59938,1980-10-07,11274500,37.315492,-121.125208,0.0,280
59939,1980-10-08,11274500,37.315492,-121.125208,0.0,281
59940,1980-10-09,11274500,37.315492,-121.125208,0.0,282
59941,1980-10-10,11274500,37.315492,-121.125208,0.0,283
59942,1980-10-11,11274500,37.315492,-121.125208,0.0,284
59943,1980-10-12,11274500,37.315492,-121.125208,0.0,285
59944,1980-10-13,11274500,37.315492,-121.125208,0.0,286
59948,1980-10-17,11274500,37.315492,-121.125208,0.0,290
59949,1980-10-18,11274500,37.315492,-121.125208,0.0,291
59950,1980-10-19,11274500,37.315492,-121.125208,0.0,292
59951,1980-10-20,11274500,37.315492,-121.125208,0.0,293
59952,1980-10-21,11274500,37.315492,-121.125208,0.0,294
59953,1980-10-22,11274500,37.315492,-121.125208,0.0,295
59954,1980-10-23,11274500,37.315492,-121.125208,0.0,296
59955,1980-10-24,11274500,37.315492,-121.125208,0.0,297
59956,1980-10-25,11274500,37.315492,-121.125208,0.0,298
59957,1980-10-26,11274500,37.315492,-121.125208,0.0,299
59958,1980-10-27,11274500,37.315492,-121.125208,0.0,300
59959,1980-10-28,11274500,37.315492,-121.125208,0.0,301
59960,1980-10-29,11274500,37.315492,-121.125208,0.0,302
59961,1980-10-30,11274500,37.315492,-121.125208,0.0,303
59962,1980-10-31,11274500,37.315492,-121.125208,0.0,304
59963,1980-11-01,11274500,37.315492,-121.125208,0.0,305
59964,1980-11-02,11274500,37.315492,-121.125208,0.0,306
59965,1980-11-03,11274500,37.315492,-121.125208,0.0,307
59966,1980-11-04,11274500,37.315492,-121.125208,0.0,308
59967,1980-11-05,11274500,37.315492,-121.125208,0.0,309
59968,1980-11-06,11274500,37.315492,-121.125208,0.0,310
59969,1980-11-07,11274500,37.315492,-121.125208,0.0,311
59970,1980-11-08,11274500,37.315492,-121.125208,0.0,312
59971,1980-11-09,11274500,37.315492,-121.125208,0.0,313
59972,1980-11-10,11274500,37.315492,-121.125208,0.0,314
60285,1980-09-18,11274630,37.486599,-121.209103,0.04536585365853659,261
60728,1980-12-04,11276500,37.937421,-119.798233,47.7025,338
61048,1980-10-19,11276600,37.879368,-119.947126,54.52307692307693,292
61407,1980-10-12,11276900,37.881591,-119.970182,65.7731707317073,285
61784,1980-10-23,11277300,37.967699,-119.917403,6.026999999999998,296
62141,1980-10-14,11278000,37.969088,-119.882124,9.229756097560973,287
62508,1980-10-15,11278300,37.894368,-119.962682,18.05641025641026,288
62901,1980-11-11,11278400,37.890202,-119.969905,246.57999999999998,315
63215,1980-09-20,11284400,37.84187100000001,-120.18491000000002,0.006341463414634147,263
63216,1980-09-21,11284400,37.84187100000001,-120.18491000000002,0.006341463414634147,264
63633,1980-11-11,11289650,37.666321,-120.44213899999998,271.0,315
64003,1980-11-15,11290000,37.626875,-120.98798899999998,455.95,319
64109,1980-02-29,11292000,38.297412,-119.741287,36.0,59
64682,1980-09-23,11292700,38.24686,-120.031852,37.32051282051282,266
65086,1980-10-31,11292900,38.193251,-120.099076,144.66666666666666,304
65207,1980-02-29,11294000,38.392968,-119.999074,99.9,59
65823,1980-11-05,11294500,38.245751,-120.289917,158.89743589743588,309
66116,1980-08-24,11296500,38.197417,-120.008518,22.58205128205128,236
66507,1980-09-18,11298000,38.092421,-120.168244,3.4450000000000003,261
66830,1980-08-06,11299600,37.961036,-120.615203,0.0,218
66831,1980-08-07,11299600,37.961036,-120.615203,0.0,219
66832,1980-08-08,11299600,37.961036,-120.615203,0.0,220
66833,1980-08-09,11299600,37.961036,-120.615203,0.0,221
66834,1980-08-10,11299600,37.961036,-120.615203,0.0,222
66835,1980-08-11,11299600,37.961036,-120.615203,0.0,223
66836,1980-08-12,11299600,37.961036,-120.615203,0.0,224
66837,1980-08-13,11299600,37.961036,-120.615203,0.0,225
66838,1980-08-14,11299600,37.961036,-120.615203,0.0,226
66839,1980-08-15,11299600,37.961036,-120.615203,0.0,227
66840,1980-08-16,11299600,37.961036,-120.615203,0.0,228
66841,1980-08-17,11299600,37.961036,-120.615203,0.0,229
66842,1980-08-18,11299600,37.961036,-120.615203,0.0,230
66843,1980-08-19,11299600,37.961036,-120.615203,0.0,231
66844,1980-08-20,11299600,37.961036,-120.615203,0.0,232
66845,1980-08-21,11299600,37.961036,-120.615203,0.0,233
66846,1980-08-22,11299600,37.961036,-120.615203,0.0,234
66847,1980-08-23,11299600,37.961036,-120.615203,0.0,235
66871,1980-09-16,11299600,37.961036,-120.615203,0.0,259
66872,1980-09-17,11299600,37.961036,-120.615203,0.0,260
66873,1980-09-18,11299600,37.961036,-120.615203,0.0,261
66874,1980-09-19,11299600,37.961036,-120.615203,0.0,262
66875,1980-09-20,11299600,37.961036,-120.615203,0.0,263
66876,1980-09-21,11299600,37.961036,-120.615203,0.0,264
67294,1980-11-12,11302000,37.851594,-120.637982,331.56410256410254,316
67664,1980-11-16,11303000,37.729651,-121.110493,414.725,320
67985,1980-10-02,11314500,38.493523,-120.221027,42.47692307692307,275
68342,1980-09-23,11315000,38.519078,-120.212693,0.258,266
68698,1980-09-13,11316800,38.403246,-120.446868,2.420000000000001,256
69062,1980-09-11,11317000,38.389634,-120.526593,8.094871794871795,254
69431,1980-09-14,11318500,38.368246,-120.545482,6.241025641025642,257
69815,1980-10-02,11319500,38.312693,-120.720211,447.97435897435895,275
70227,1980-11-17,11323500,38.220473,-121.039665,389.4871794871795,321
70522,1980-09-07,11325500,38.158529,-121.303559,145.9189189189189,250
70896,1980-09-15,11335000,38.500186,-121.045221,17.882750000000005,258
71260,1980-09-13,11342000,40.939594,-122.417235,223.2,256
71726,1980-12-22,11345500,41.230729,-120.437173,15.630249999999998,356
71941,1980-07-24,11348500,41.406001,-120.927746,25.745749999999997,205
72346,1980-09-01,11355010,40.983218,-121.511927,1159.825,244
72750,1980-10-09,11362500,40.973492,-121.779435,207.05128205128204,282
73146,1980-11-08,11363000,41.019324,-121.911107,201.97435897435898,312
73561,1980-12-27,11363930,41.039324,-121.985276,3.99921052631579,361
73844,1980-10-05,11365000,40.843211,-122.017221,2645.230769230769,278
74226,1980-10-21,11367500,41.188213,-122.065557,752.0769230769231,294
74391,1980-04-03,11367760,41.12516,-122.06861,102.28571428571429,93
74872,1980-07-27,11367800,41.110712,-122.096113,211.12820512820514,208
75270,1980-08-28,11368000,40.958208,-122.219728,286.8157894736842,240
75707,1980-11-07,11370500,40.600984,-122.444455,5525.25,311
76001,1980-08-27,11372000,40.513206,-122.52418,84.53,239
76377,1980-09-06,11374000,40.505152,-122.233335,32.699,249
76733,1980-08-27,11376000,40.387098,-122.23861200000002,63.964999999999996,239
77110,1980-09-07,11376025,40.53738,-121.732488,6.514545454545454,250
77476,1980-09-07,11376550,40.39821,-122.146387,241.275,250
77903,1980-11-07,11377100,40.288488,-122.186664,6410.5,311
78208,1980-09-07,11379500,40.024598,-122.509724,1.9720000000000006,250
78600,1980-10-03,11381500,40.054602,-122.024154,105.36585365853661,276
78940,1980-09-07,11383500,40.014047,-121.948318,94.81000000000002,250
79349,1980-10-20,11389500,39.214057,-122.000251,5299.0,293
79694,1980-09-29,11390000,39.72599500000001,-121.708864,99.33170731707318,272
80084,1980-10-23,11390500,39.009895,-121.82469,5232.75,296
80242,1980-03-29,11395030,39.723781,-121.022178,43.80512820512821,88
80835,1980-11-11,11395200,39.64739,-121.118847,6.073589743589743,315
81209,1980-11-19,11396000,39.573501,-121.141625,4.737692307692308,323
81566,1980-11-10,11396200,39.551277,-121.209405,7.3487179487179475,314
81677,1980-02-29,11399500,40.168221,-121.093016,37.4,59
82249,1980-09-22,11400500,40.187108,-121.188019,44.845,265
82654,1980-10-31,11401112,40.071276,-121.164684,65.24871794871794,304
82947,1980-08-19,11402000,40.002947,-120.954399,24.042750000000005,231
83397,1980-11-11,11403200,39.980163,-121.27691000000002,176.72727272727272,315
83742,1980-10-21,11403800,39.905441,-121.345244,1162.1842105263158,294
83873,1980-02-29,11404300,39.891275,-121.294131,4.3225,59
84472,1980-10-19,11404330,39.852385,-121.392467,176.4848484848485,292
84831,1980-10-12,11404500,39.794329,-121.451635,93.38461538461539,285
85174,1980-09-19,11406999,39.520164,-121.547748,529.5135135135135,262
85540,1980-09-19,11407000,39.521553,-121.547748,627.725,262
85895,1980-09-08,11408880,39.41156,-120.998007,29.989743589743583,251
86269,1980-09-16,11409400,39.439336,-121.059121,4.327250000000001,259
86642,1980-09-23,11413000,39.524894,-120.938007,143.40975609756094,266
87015,1980-09-30,11413300,39.614336,-121.052178,9.285,273
87461,1980-12-19,11414100,39.37990300000001,-120.499374,29.96410256410256,353
87701,1980-08-15,11414250,39.318512,-120.65771200000002,7.292564102564102,227
88076,1980-08-24,11416500,39.439622,-120.661882,4.517179487179486,236
88457,1980-09-08,11417500,39.292115,-121.104675,42.83589743589744,251
88839,1980-09-24,11418000,39.235171,-121.274126,978.3846153846154,267
89166,1980-08-16,11418500,39.224338,-121.26857,3.6370000000000005,228
89604,1980-10-27,11421000,39.175725,-121.524965,742.85,300
89988,1980-11-14,11421770,39.254344,-120.774937,6.353846153846154,318
90354,1980-11-14,11421790,39.213509,-120.845217,6.533333333333333,318
90702,1980-10-27,11422500,39.131841,-120.959388,93.74358974358974,300
91040,1980-09-29,11424000,39.000173,-121.406902,14.278048780487804,272
91389,1980-09-12,11427000,38.93600900000001,-121.023833,49.365,255
91740,1980-08-28,11427500,39.109627,-120.481313,9.092307692307692,240
92121,1980-09-12,11427700,39.135738,-120.478535,0.8948717948717948,255
92487,1980-09-12,11427750,39.13296,-120.48381299999998,0.9023076923076925,255
92848,1980-09-07,11427760,39.025181,-120.595481,17.353846153846153,250
93256,1980-10-19,11427770,39.026292,-120.60353700000002,19.243333333333332,292
93681,1980-12-17,11428800,39.056572,-120.407976,13.212820512820512,351
93926,1980-08-18,11429500,39.005462,-120.315471,9.615384615384615,230
94376,1980-11-10,11430000,38.954628,-120.401586,7.015789473684211,314
94708,1980-10-07,11433300,39.006289,-120.762152,241.35897435897436,280
95085,1980-10-18,11435100,38.815741,-120.117131,8.517948717948716,291
95381,1980-08-09,11436000,38.671298,-120.12268799999998,5.4456410256410255,221
95774,1980-09-05,11439500,38.763518,-120.328528,45.8051282051282,248
96249,1980-12-23,11441500,38.818795,-120.365196,8.602564102564102,357
96577,1980-11-15,11441900,38.823793,-120.539369,11.274358974358973,319
96683,1980-02-29,11443500,38.772958,-120.701598,33.1,59
97305,1980-11-11,11444500,38.771013,-120.816324,488.20512820512823,315
97669,1980-11-09,11446500,38.63546,-121.227726,1784.05,313
97971,1980-09-06,11449500,38.9274,-122.843605,2.5490000000000004,249
98411,1980-11-19,11451000,38.924065,-122.565815,4.32325,323
98704,1980-09-07,11451100,39.165446,-122.619986,1.1149999999999998,250
99124,1980-10-31,11452500,38.725182,-121.807187,11.2075,304
99530,1980-12-10,11454000,38.515185,-122.081916,85.5275,344
99817,1980-09-22,11456000,38.511297,-122.455813,0.38138888888888894,265
100185,1980-09-24,11458000,38.368246,-122.303309,1.2412195121951217,267
100564,1980-10-07,11459500,38.107698,-122.579981,0.18804878048780485,280
100930,1980-10-07,11460400,38.026867,-122.736377,7.179189189189189,280
101265,1980-09-06,11460600,38.0802,-122.78443500000002,6.868500000000002,249
101625,1980-08-31,11460750,38.175753,-122.818325,4.89861111111111,243
101997,1980-09-06,11461000,39.195447,-123.195005,0.4422499999999999,249
102355,1980-08-29,11461500,39.246556,-123.130281,89.70500000000001,241
102753,1980-09-30,11462500,39.026563,-123.130559,177.05853658536586,273
103120,1980-10-01,11463000,38.879348,-123.05361200000002,175.40243902439025,274
103461,1980-09-06,11463170,38.797683,-122.802493,0.9648717948717945,249
103834,1980-09-13,11464000,38.613243,-122.836382,155.965,256
104226,1980-10-09,11465200,38.698521,-122.958054,80.71926829268293,282
104568,1980-09-15,11467000,38.508523,-122.927774,150.885,258
104933,1980-09-14,11468000,39.172123,-123.669458,5.718000000000001,257
105314,1980-09-29,11468500,39.428224,-123.737792,5.116585365853659,272
105665,1980-09-14,11469000,40.313191,-124.283659,30.985000000000003,257
106017,1980-08-31,11470500,39.407939,-122.97139,131.7948717948718,243
106345,1980-07-24,11471500,39.388496,-123.116116,13.266666666666666,205
106758,1980-09-09,11473900,39.706267,-123.325291,12.3205,252
107129,1980-09-14,11475000,40.2182,-123.63253,35.29975,257
107504,1980-09-23,11475560,39.7296,-123.643907,0.8268292682926829,266
107861,1980-09-14,11475800,39.874596,-123.720578,19.095757575757574,257
108220,1980-09-07,11476500,40.18181,-123.776143,36.464999999999996,250
108592,1980-09-13,11476600,40.35125,-124.003931,1.257179487179487,256
108955,1980-09-10,11477000,40.491524,-124.09977,98.57249999999998,253
109324,1980-09-13,11478500,40.480416,-123.890876,9.223000000000003,256
109701,1980-09-24,11480390,40.284313,-123.335303,0.17717948717948717,267
109982,1980-07-01,11480410,40.370978,-123.436141,48.65526315789473,182
110415,1980-09-06,11481000,40.909572,-124.060896,40.28999999999999,249
110788,1980-09-13,11481200,41.010959,-124.081733,5.491750000000001,256
111154,1980-09-13,11481500,40.905965,-123.815335,4.375555555555556,256
111520,1980-09-13,11482500,41.29929,-124.051182,18.28425,256
111833,1980-07-22,11516530,41.927919,-122.44418799999998,838.025,203
112216,1980-08-08,11517500,41.822918,-122.595581,32.2375,220
112603,1980-08-29,11519500,41.64069,-123.015037,26.840250000000005,241
112940,1980-07-31,11520500,41.853738,-123.232273,1113.475,212
113349,1980-09-12,11521500,41.835123,-123.383111,43.50499999999999,255
113716,1980-09-13,11522500,41.377627,-123.477558,182.2,256
114063,1980-08-25,11523000,41.30346,-123.534504,1730.9,237
114447,1980-09-12,11523200,41.111257,-122.705579,37.372499999999995,255
114865,1980-11-03,11525500,40.719312,-122.803634,307.475,307
